,count,mean,std,min,25%,50%,75%,max,cv,PHYSICIAN
PT_PREP,70.00,17.56,3.63,10.00,15.00,17.00,20.00,26.00,0.21,Dr. A
ACCESS,70.00,5.31,2.20,2.00,4.00,5.00,6.00,17.00,0.41,Dr. A
TSP,70.00,4.23,2.77,2.00,3.00,3.00,5.00,18.00,0.66,Dr. A
PRE_MAP,70.00,1.30,0.52,1.00,1.00,1.00,2.00,3.00,0.40,Dr. A
ABL_DURATION,70.00,21.04,5.59,14.00,17.00,19.00,25.00,41.00,0.27,Dr. A
ABL_TIME,70.00,7.23,0.96,5.60,6.65,7.00,7.84,10.50,0.13,Dr. A
LA_DWELL,70.00,21.94,5.38,14.00,19.00,20.50,25.00,43.00,0.25,Dr. A
POST_CARE,70.00,13.59,2.60,9.00,12.00,13.50,15.00,22.00,0.19,Dr. A
CASE_TIME,70.00,33.56,7.69,23.00,28.00,31.00,37.75,66.00,0.23,Dr. A
SKIN_SKIN,70.00,38.87,8.34,28.00,33.00,36.00,42.75,72.00,0.21,Dr. A
PT_IN_OUT,70.00,69.54,10.03,49.00,62.25,67.00,75.50,94.00,0.14,Dr. A
PT_PREP,60.00,21.65,6.59,10.00,18.00,21.00,22.25,48.00,0.30,Dr. B
ACCESS,60.00,5.58,2.41,2.00,4.00,5.00,6.00,17.00,0.43,Dr. B
TSP,60.00,7.23,6.44,2.00,4.00,5.00,8.00,37.00,0.89,Dr. B
PRE_MAP,60.00,3.02,6.02,1.00,2.00,2.00,3.00,48.00,2.00,Dr. B
ABL_DURATION,60.00,27.80,11.87,16.00,21.75,26.00,30.25,95.00,0.43,Dr. B
ABL_TIME,60.00,7.72,1.24,5.00,6.91,7.35,8.00,10.50,0.16,Dr. B
LA_DWELL,60.00,30.38,13.82,17.00,22.75,28.00,31.25,103.00,0.45,Dr. B
POST_CARE,59.00,15.92,4.44,9.00,12.50,15.00,19.00,33.00,0.28,Dr. B
CASE_TIME,60.00,49.37,21.98,17.00,37.00,43.00,55.00,159.00,0.45,Dr. B
SKIN_SKIN,60.00,54.63,21.69,28.00,42.00,49.00,60.00,165.00,0.40,Dr. B
PT_IN_OUT,60.00,91.90,25.73,57.00,74.00,90.00,97.25,204.00,0.28,Dr. B
PT_PREP,15.00,16.80,3.30,12.00,15.00,16.00,17.50,23.00,0.20,Dr. C
ACCESS,15.00,4.67,0.98,3.00,4.00,5.00,5.00,7.00,0.21,Dr. C
TSP,15.00,3.47,1.06,2.00,3.00,3.00,4.00,5.00,0.31,Dr. C
PRE_MAP,15.00,1.40,0.51,1.00,1.00,1.00,2.00,2.00,0.36,Dr. C
ABL_DURATION,15.00,22.87,5.41,12.00,18.50,23.00,27.00,31.00,0.24,Dr. C
ABL_TIME,15.00,7.03,0.80,6.00,6.65,7.00,7.35,9.00,0.11,Dr. C
LA_DWELL,15.00,23.33,5.78,12.00,18.50,23.00,28.00,32.00,0.25,Dr. C
POST_CARE,15.00,14.93,2.76,8.00,14.00,15.00,17.00,18.00,0.19,Dr. C
CASE_TIME,15.00,39.67,14.28,23.00,30.50,39.00,42.50,83.00,0.36,Dr. C
SKIN_SKIN,15.00,44.33,14.42,27.00,36.50,43.00,47.00,88.00,0.33,Dr. C
PT_IN_OUT,15.00,74.67,13.23,54.00,65.50,76.00,84.00,103.00,0.18,Dr. C
